,Coin,classification,total_risk_usd,total_pnl,efficiency%
646,USUAL,Extreme Greed,2632.2281506849313,35.589668520547946,1.3520738508661252
612,TAO,Fear,2625.482109375,59.76927096875,2.27650650352282
488,NTRN,Greed,2616.0266666666666,15.829041347826086,0.6050795104468641
317,ETHFI,Greed,2595.769124087591,222.26487435766424,8.56258256156699
239,BIGTIME,Greed,2595.4790000000003,13.600659000000002,0.5240134479993867
569,S,Fear,2550.504838709677,45.678695483870975,1.7909668231400115
527,POLYX,Extreme Greed,2489.9823076923076,46.69245023076923,1.875212128476662
546,PYTH,Extreme Greed,2480.521666666667,18.646396,0.7517126840926605
322,FARTCOIN,Greed,2467.444847161572,20.49356706841339,0.8305582632166304
165,AAVE,Extreme Greed,2450.7426548672565,41.90415500442478,1.7098553747045504
404,JTO,Greed,2447.5416455696204,107.44218954430379,4.389800260959343
30,@123,Extreme Greed,2445.6204347826088,0.0,0.0
215,ARB,Fear,2440.1981818181816,797.0925143636364,32.66507287411082
374,HYPE,Fear,2429.164317182362,32.30734951606513,1.3299779388139166
506,PAXG,Extreme Fear,2409.0112702078522,1.1310080923787529,0.04694905774688087
661,VVV,Neutral,2396.7547368421056,17.038024789473685,0.7108789450823195
699,ZORA,Greed,2379.515594405594,47.554148181818185,1.998480207216178
216,ARB,Greed,2370.947804878049,6.235915682926829,0.26301362139212414
318,ETHFI,Neutral,2350.594857142857,76.37912525714286,3.249353031852606
516,PENGU,Fear,2329.917358490566,-20.444855056603775,-0.8774927137265052
695,ZETA,Greed,2328.488,31.53104846153846,1.3541426222311845
185,AIXBT,Extreme Fear,2313.023888888889,0.0,0.0
566,RUNE,Greed,2285.7863905325444,5.431779,0.2376328349183363
214,ARB,Extreme Greed,2283.274074074074,4.611652740740741,0.20197543488557693
473,MORPHO,Extreme Greed,2263.949333333333,13.2188331,0.5838837868574208
189,AIXBT,Neutral,2262.1635135135134,136.24215752702702,6.02264852709168
379,ILV,Greed,2252.0835714285718,9.66917825,0.4293436696874671
12,@107,Greed,2147.231001034661,90.94451661717537,4.235432357922972
486,NIL,Neutral,2141.469466666667,-14.112844822222222,-0.6590261986872855
441,MAVIA,Extreme Greed,2122.5093749999996,112.59726500000001,5.304912493024914
400,JELLY,Neutral,2120.0760425531917,14.609891851063828,0.6891211238569181
507,PAXG,Fear,2091.703911111111,-0.5340934577777778,-0.025533893919721547
350,GMX,Greed,2084.6462857142856,0.0,0.0
10,@107,Extreme Greed,2077.368969912244,203.74214141485584,9.807701201171916
552,RENDER,Fear,2058.6410204081635,41.45246371428571,2.0135838790420584
50,@153,Fear,2055.7717857142857,0.020609892857142854,0.0010025379762657785
616,TIA,Fear,2049.5997058823527,239.3231720588235,11.676581108592368
304,ENA,Greed,2026.3606349206348,103.11939939999999,5.088896696023648
291,DYDX,Fear,2023.8639583333334,1.0434446875,0.05155705664916749
270,CANTO,Greed,2013.2280000000003,-18.849813000000005,-0.9362979751920797
449,MELANIA,Extreme Fear,2006.4020240963855,224.74121853493975,11.201205732243789
196,ALT,Neutral,1996.6708620689656,35.37252293103448,1.7715750554090426
315,ETHFI,Extreme Greed,1993.549827586207,0.0,0.0
673,WLD,Extreme Greed,1993.2569686985173,27.308065116968695,1.370022307500036
715,kPEPE,Extreme Greed,1962.276798679868,21.90795471617162,1.1164558807865594
378,ILV,Extreme Greed,1941.1781720430108,51.265299387096775,2.6409373505958054
235,BERA,Fear,1932.708475609756,-0.14233251829268279,-0.007364407001308248
432,LTC,Extreme Greed,1916.6048734177216,15.224733664556963,0.7943595404413204
13,@107,Neutral,1898.6821659919028,50.298840548582994,2.6491448357975202
596,STX,Extreme Greed,1882.101212121212,21.136085848484846,1.1230047413158795
451,MELANIA,Fear,1876.7520327102804,109.01590903913552,5.808754014333049
226,AVAX,Fear,1862.374,7.45803752,0.4004586361278669
