,Coin,classification,total_pnl,avg_pnl,trade_count,avg_trade_size_usd,total_fees
319,FARTCOIN,Extreme Fear,-137957.399227,-249.47088467811932,553,1746.0163110307415,217.610707
320,FARTCOIN,Extreme Greed,8172.3000759999995,21.851069721925132,374,1223.4641711229947,155.950819
321,FARTCOIN,Fear,-10892.592625000001,-12.549069844470047,868,1257.7805875576037,218.416101
322,FARTCOIN,Greed,42237.241728,20.49356706841339,2061,2467.444847161572,1609.942886
323,FARTCOIN,Neutral,-1657.9496179999999,-3.619977331877729,458,1017.901615720524,108.64759600000001
324,FET,Extreme Greed,146.6026,20.94322857142857,7,869.9542857142858,0.010266999999999998
325,FET,Fear,17.0533,8.52665,2,490.71500000000003,0.343497
326,FET,Greed,64.415715,1.7409652702702705,37,2670.665135135135,17.406587
327,FIL,Greed,-35.27859,-7.055718000000001,5,3961.3979999999997,4.951744000000001
328,FTM,Extreme Greed,6521.818843,90.58081726388889,72,6288.255,39.663124
329,FTM,Greed,-29.215368,-9.738456000000001,3,335.7266666666667,0.078521
330,FTM,Neutral,0.004343,0.0008686,5,133.68800000000002,0.233948
331,FTT,Extreme Fear,854.609006,37.156913304347825,23,169.8582608695652,1.192642
332,FTT,Extreme Greed,1587.848756,3.024473820952381,525,242.19969523809525,33.562311
333,FTT,Fear,1253.444307,27.248789282608694,46,312.82978260869567,2.617444
334,FTT,Greed,2199.699064,2.8129144040920715,782,270.3904219948849,51.859406
335,FTT,Neutral,917.566714,11.61476853164557,79,228.9760759493671,5.02382
336,FXS,Extreme Greed,28.863186,1.1101225384615385,26,389.8588461538462,2.457955
337,FXS,Greed,-150.792898,-2.037741864864865,74,1387.8912162162162,26.461224
338,GALA,Extreme Greed,145.761452,5.83045808,25,633.9592,5.547123
339,GALA,Fear,18.788724,9.394362,2,545.565,0.38189399999999996
340,GALA,Greed,6.486417,0.5896742727272728,11,133.1209090909091,0.512511
341,GALA,Neutral,13.101431,4.367143666666666,3,217.72,0.228607
342,GAS,Neutral,60.6139,30.30695,2,369.765,0.184881
343,GMT,Extreme Fear,4.634472,1.544824,3,220.41,0.231427
344,GMT,Extreme Greed,186.760963,3.661979666666667,51,959.6719607843138,17.067998
345,GMT,Fear,119.500423,4.78001692,25,394.86800000000005,2.955088
346,GMT,Greed,4.930490000000001,0.23478523809523813,21,296.0342857142857,2.078452
347,GMT,Neutral,11.447352,3.8157840000000003,3,218.14333333333332,0.229048
